order,id,date,time,title,url,visitCount,typedCount,transition
0,8163,5/6/2024,22:10:34,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,2,0,link
1,8163,5/6/2024,22:10:33,Quick Chrome History Export,https://chromewebstore.google.com/detail/quick-chrome-history-expo/hdfpifhfphhgjipcnfnolgalplokmmge,2,0,link
2,8160,5/6/2024,22:10:30,quick chrome history export - Pesquisa Google,https://www.google.com/search?q=quick+chrome+history+export&oq=quick+chrome+&gs_lcrp=EgZjaHJvbWUqCQgBEAAYExiABDIMCAAQRRgTGBYYHhg5MgkIARAAGBMYgAQyCggCEAAYExgWGB4yCggDEAAYExgWGB4yCggEEAAYExgWGB4yCggFEAAYExgWGB4yCggGEAAYExgWGB4yCggHEAAYExgWGB4yCggIEAAYExgWGB4yCggJEAAYExgWGB7SAQg4NjA2ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,2,0,link
3,8160,5/6/2024,22:10:29,quick chrome history export - Pesquisa Google,https://www.google.com/search?q=quick+chrome+history+export&oq=quick+chrome+&gs_lcrp=EgZjaHJvbWUqCQgBEAAYExiABDIMCAAQRRgTGBYYHhg5MgkIARAAGBMYgAQyCggCEAAYExgWGB4yCggDEAAYExgWGB4yCggEEAAYExgWGB4yCggFEAAYExgWGB4yCggGEAAYExgWGB4yCggHEAAYExgWGB4yCggIEAAYExgWGB4yCggJEAAYExgWGB7SAQg4NjA2ajBqN6gCALACAA&sourceid=chrome&ie=UTF-8,2,0,generated
4,4567,5/6/2024,22:07:05,Bruno Nunes | LinkedIn,https://www.linkedin.com/in/bruno-nunes-a02801172/,28,0,reload
5,4567,5/6/2024,22:07:01,Bruno Nunes | LinkedIn,https://www.linkedin.com/in/bruno-nunes-a02801172/,28,0,link
6,8159,5/6/2024,22:06:43,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,reload
7,8159,5/6/2024,22:05:50,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,reload
8,8159,5/6/2024,22:05:44,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,link
9,8159,5/6/2024,22:05:44,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,link
10,8159,5/6/2024,22:05:43,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,link
11,8159,5/6/2024,22:05:43,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,form_submit
12,8159,5/6/2024,22:05:14,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,link
13,8159,5/6/2024,22:05:14,Pages,https://github.com/brunonunesx/Web-Historia_Computadores/settings/pages,6,0,link
14,8054,5/6/2024,22:05:14,General,https://github.com/brunonunesx/Web-Historia_Computadores/settings,6,0,link
15,8054,5/6/2024,22:05:12,General,https://github.com/brunonunesx/Web-Historia_Computadores/settings,6,0,link
16,8054,5/6/2024,22:05:12,General,https://github.com/brunonunesx/Web-Historia_Computadores/settings,6,0,link
